NomeMunicipio,NomeMeso
Adamantina,Presidente Prudente
Adolfo,São José do Rio Preto
Aguaí,Campinas
Águas da Prata,Campinas
Águas de Lindóia,Campinas
Águas de Santa Bárbara,Bauru
Águas de São Pedro,Piracicaba
Agudos,Bauru
Alambari,Itapetininga
Alfredo Marcondes,Presidente Prudente
Altair,São José do Rio Preto
Altinópolis,Ribeirão Preto
Alto Alegre,Araçatuba
Alumínio,Macro Metropolitana Paulista
Álvares Florence,São José do Rio Preto
Álvares Machado,Presidente Prudente
Álvaro de Carvalho,Marília
Alvinlândia,Marília
Americana,Campinas
Américo Brasiliense,Araraquara
Américo de Campos,São José do Rio Preto
Amparo,Campinas
Analândia,Araraquara
Andradina,Araçatuba
Angatuba,Itapetininga
Anhembi,Bauru
Anhumas,Presidente Prudente
Aparecida,Vale do Paraíba Paulista
Aparecida d'Oeste,São José do Rio Preto
Apiaí,Itapetininga
Araçariguama,Macro Metropolitana Paulista
Araçatuba,Araçatuba
Araçoiaba da Serra,Macro Metropolitana Paulista
Aramina,Ribeirão Preto
Arandu,Bauru
Arapeí,Vale do Paraíba Paulista
Araraquara,Araraquara
Araras,Piracicaba
Arco-Íris,Marília
Arealva,Bauru
Areias,Vale do Paraíba Paulista
Areiópolis,Bauru
Ariranha,São José do Rio Preto
Artur Nogueira,Campinas
Arujá,Metropolitana de São Paulo
Aspásia,São José do Rio Preto
Assis,Assis
Atibaia,Macro Metropolitana Paulista
Auriflama,São José do Rio Preto
Avaí,Bauru
Avanhandava,Araçatuba
Avaré,Bauru
Bady Bassitt,São José do Rio Preto
Balbinos,Bauru
Bálsamo,São José do Rio Preto
Bananal,Vale do Paraíba Paulista
Barão de Antonina,Itapetininga
Barbosa,Araçatuba
Bariri,Bauru
Barra Bonita,Bauru
Barra do Chapéu,Itapetininga
Barra do Turvo,Litoral Sul Paulista
Barretos,Ribeirão Preto
Barrinha,Ribeirão Preto
Barueri,Metropolitana de São Paulo
Bastos,Marília
Batatais,Ribeirão Preto
Bauru,Bauru
Bebedouro,Ribeirão Preto
Bento de Abreu,Araçatuba
Bernardino de Campos,Assis
Bertioga,Metropolitana de São Paulo
Bilac,Araçatuba
Birigui,Araçatuba
Biritiba-Mirim,Metropolitana de São Paulo
Boa Esperança do Sul,Araraquara
Bocaina,Bauru
Bofete,Bauru
Boituva,Itapetininga
Bom Jesus dos Perdões,Macro Metropolitana Paulista
Bom Sucesso de Itararé,Itapetininga
Borá,Assis
Boracéia,Bauru
Borborema,Araraquara
Borebi,Bauru
Botucatu,Bauru
Bragança Paulista,Macro Metropolitana Paulista
Braúna,Araçatuba
Brejo Alegre,Araçatuba
Brodowski,Ribeirão Preto
Brotas,Piracicaba
Buri,Itapetininga
Buritama,Araçatuba
Buritizal,Ribeirão Preto
Cabrália Paulista,Bauru
Cabreúva,Macro Metropolitana Paulista
Caçapava,Vale do Paraíba Paulista
Cachoeira Paulista,Vale do Paraíba Paulista
Caconde,Campinas
Cafelândia,Bauru
Caiabu,Presidente Prudente
Caieiras,Metropolitana de São Paulo
Caiuá,Presidente Prudente
Cajamar,Metropolitana de São Paulo
Cajati,Litoral Sul Paulista
Cajobi,São José do Rio Preto
Cajuru,Ribeirão Preto
Campina do Monte Alegre,Itapetininga
Campinas,Campinas
Campo Limpo Paulista,Macro Metropolitana Paulista
Campos do Jordão,Vale do Paraíba Paulista
Campos Novos Paulista,Assis
Cananéia,Litoral Sul Paulista
Canas,Vale do Paraíba Paulista
Cândido Mota,Assis
Cândido Rodrigues,Ribeirão Preto
Canitar,Assis
Capão Bonito,Itapetininga
Capela do Alto,Macro Metropolitana Paulista
Capivari,Piracicaba
Caraguatatuba,Vale do Paraíba Paulista
Carapicuíba,Metropolitana de São Paulo
Cardoso,São José do Rio Preto
Casa Branca,Campinas
Cássia dos Coqueiros,Ribeirão Preto
Castilho,Araçatuba
Catanduva,São José do Rio Preto
Catiguá,São José do Rio Preto
Cedral,São José do Rio Preto
Cerqueira César,Bauru
Cerquilho,Itapetininga
Cesário Lange,Itapetininga
Charqueada,Piracicaba
Clementina,Araçatuba
Colina,Ribeirão Preto
Colômbia,Ribeirão Preto
Conchal,Piracicaba
Conchas,Bauru
Cordeirópolis,Piracicaba
Coroados,Araçatuba
Coronel Macedo,Itapetininga
Corumbataí,Piracicaba
Cosmópolis,Campinas
Cosmorama,São José do Rio Preto
Cotia,Metropolitana de São Paulo
Cravinhos,Ribeirão Preto
Cristais Paulista,Ribeirão Preto
Cruzália,Assis
